"temperatura_LPS22HB","humidity","speed_acceleration","pos_3d_acceleration","number_of_satellites","gps_fix","","accelerometer","gyro_accelerometer","angular_velocity","heading","gps_ecef","ecef_velocity","pressure","temperatura_HTS221","time","timeStamp"
36.5,71.09999847,83886362,2149360,134,3,"{""x"":135006301,""y"":2147441583,""z"":1878849346}","{""x"":134218726,""y"":168,""z"":-3145887}","{""x"":0,""y"":-99,""z"":173}","{""x"":27930,""y"":-14140,""z"":16100}","{""x"":186,""y"":-49,""z"":511}","{""x"":400065075,""y"":-436317627,""z"":-241278424}","{""x"":135006301,""y"":2147441583,""z"":1878849346}",900.789978,37,19542,11338713680685
36.5,71.09999847,307,3058,5,3,"{""x"":2555,""y"":-3114,""z"":-2037}","{""x"":1030,""y"":499,""z"":86}","{""x"":1018,""y"":-194,""z"":61}","{""x"":40180,""y"":19670,""z"":-3500}","{""x"":184,""y"":-100,""z"":498}","{""x"":400065176,""y"":-436334368,""z"":-237084631}","{""x"":2555,""y"":-3114,""z"":-2037}",902.25,37,209,19955
36.5,71.09999847,307,3058,5,3,"{""x"":2555,""y"":-3114,""z"":-2037}","{""x"":811,""y"":148,""z"":-42}","{""x"":861,""y"":-170,""z"":24}","{""x"":2940,""y"":10710,""z"":-20020}","{""x"":174,""y"":-111,""z"":492}","{""x"":400065176,""y"":-436334368,""z"":-237084631}","{""x"":2555,""y"":-3114,""z"":-2037}",902.6400146,37,213,20168
36.5,71.09999847,277,3101,5,3,"{""x"":2264,""y"":-2746,""z"":-1890}","{""x"":1014,""y"":62,""z"":90}","{""x"":1121,""y"":-50,""z"":80}","{""x"":-12110,""y"":5390,""z"":-2100}","{""x"":174,""y"":-120,""z"":498}","{""x"":400064750,""y"":-436334039,""z"":-237084821}","{""x"":2264,""y"":-2746,""z"":-1890}",903.8900146,37,195,20570
36.5,71.09999847,277,3101,5,3,"{""x"":2264,""y"":-2746,""z"":-1890}","{""x"":932,""y"":59,""z"":94}","{""x"":1066,""y"":7,""z"":-67}","{""x"":-9030,""y"":-2660,""z"":2030}","{""x"":178,""y"":-97,""z"":499}","{""x"":400064750,""y"":-436334039,""z"":-237084821}","{""x"":2264,""y"":-2746,""z"":-1890}",904.8499756,37,216,20994
36.5,71.09999847,277,3101,5,3,"{""x"":2264,""y"":-2746,""z"":-1890}","{""x"":870,""y"":12,""z"":-93}","{""x"":923,""y"":-202,""z"":67}","{""x"":-28910,""y"":2660,""z"":-2240}","{""x"":178,""y"":-75,""z"":502}","{""x"":400064750,""y"":-436334039,""z"":-237084821}","{""x"":2264,""y"":-2746,""z"":-1890}",905.8099976,37,202,21403
36.5,71.09999847,247,3128,5,3,"{""x"":1964,""y"":-2416,""z"":-1711}","{""x"":831,""y"":-19,""z"":-54}","{""x"":953,""y"":52,""z"":-81}","{""x"":-910,""y"":-1050,""z"":5460}","{""x"":175,""y"":-57,""z"":508}","{""x"":400063774,""y"":-436333137,""z"":-237084646}","{""x"":1964,""y"":-2416,""z"":-1711}",906.9299927,37,203,21807
36.5,71.09999847,247,3128,5,3,"{""x"":1964,""y"":-2416,""z"":-1711}","{""x"":784,""y"":43,""z"":-15}","{""x"":881,""y"":-12,""z"":-36}","{""x"":-23450,""y"":8890,""z"":4550}","{""x"":186,""y"":-42,""z"":517}","{""x"":400063774,""y"":-436333137,""z"":-237084646}","{""x"":1964,""y"":-2416,""z"":-1711}",907.7299805,37,203,22218
36.5,71.09999847,285,3185,7,3,"{""x"":1835,""y"":-2190,""z"":-1515}","{""x"":850,""y"":-116,""z"":86}","{""x"":940,""y"":61,""z"":96}","{""x"":-59640,""y"":8540,""z"":-3360}","{""x"":171,""y"":4,""z"":508}","{""x"":400063375,""y"":-436332866,""z"":-237084650}","{""x"":1835,""y"":-2190,""z"":-1515}",908.8400269,37,188,22605
36.5,71.09999847,285,3185,7,3,"{""x"":1835,""y"":-2190,""z"":-1515}","{""x"":792,""y"":23,""z"":-30}","{""x"":905,""y"":99,""z"":-53}","{""x"":-27930,""y"":280,""z"":5040}","{""x"":174,""y"":58,""z"":484}","{""x"":400063375,""y"":-436332866,""z"":-237084650}","{""x"":1835,""y"":-2190,""z"":-1515}",909.7800293,37,203,23016
